Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Trend
2/1/2012,169.75,170.179993,169.080002,169.559998,169.559998,7734200,132.289992999999,133.139999,132.130005,132.470001,115.046532,166234500,12632.75977,12784.62012,12632.75977,12716.45996,12716.45996,143500000,76.449997,76.75,75,75.800003,73.702339,617200,1.3159,1.3081,1.3218,1.3024,1,111.56,111.3,112.82,111.02,210930,1,0
2/2/2012,169.960007,171.229996,169.679993,171.050003,171.050003,11509600,132.729996,133.020004,132.210007,132.679993,115.228912,113090400,12716.54004,12741.88965,12676.04981,12705.41016,12705.41016,114360000,76.099998,78.099998,75.599998,77.5,75.355293,681800,1.3146,1.3161,1.3197,1.3085,0,112.07,111.51,112.56,111.04,213050,1,0
2/3/2012,169.880005,170.139999,167.509995,167.639999,167.639999,23355300,134,134.619995,133.770004,134.539992999999,116.844284,160598500,12705.04004,12869.9502,12704.95996,12862.23047,12862.23047,142840000,76.300003,76.449997,73.449997,73.800003,71.75769,700700,1.3144,1.3144,1.3205,1.3066,0,114.58,112.5,114.71,111.93,235990,1,1
2/6/2012,166.960007,167.679993,166.610001,167.179993,167.179993,8807400,133.979996,134.509995,133.830002,134.449997,116.766136,107694500,12860.71973,12860.79004,12793.42969,12845.12988,12845.12988,108040000,72.849998,73.900002,72.400002,72.900002,70.882599,426400,1.3134,1.3114,1.3144,1.3029,0,115.93,114.58,116.68,113.65,212320,1,0
2/7/2012,167.380005,170.089996,167.149994,169.699997,169.699997,11614300,134.169998,135.020004,133.639999,134.789992999999,117.061401,135528100,12844.37012,12903.70996,12782.57031,12878.2002,12878.2002,116150000,73.400002,73.699997,71.599998,72.449997,70.445045,532800,1.3266,1.3135,1.3272,1.3087,1,116.23,116.64,117.5,115.6,245840,1,1
2/8/2012,169.259995,169.960007,167.5,168.5,168.5,10655500,134.860001,135.220001,134.309998,135.190002,117.408775,139361400,12865.79004,12893.63965,12817.69043,12883.9502,12883.9502,138250000,72.650002,73.199997,70.199997,70.300003,68.354538,539800,1.3258,1.32599999999999,1.3291,1.3218,0,117.2,116.01,117.97,115.9,217970,1,1
2/9/2012,170.009995,170.369995,167.669998,168.020004,168.020004,16085200,135.410004,135.589996,134.559998,135.360001,117.556435,148602900,12884.41016,12924.70996,12846.41016,12890.45996,12890.45996,157080000,71.199997,71.5,69.25,69.400002,67.479446,659900,1.3283,1.3262,1.3323,1.3215,1,118.59,117.7,118.79,117.28,189770,1,1
2/10/2012,166.490005,167.639999,166.330002,167.139999,167.139999,10326800,134.160004,134.470001,133.839996,134.360001,116.687958,167907500,12889.54981,12889.62988,12743.55957,12801.23047,12801.23047,123620000,67.900002,68.199997,67.199997,67.349998,65.486183,595000,1.3175,1.3284,1.3293,1.3155,0,117.31,118.61,118.61,116.29,169310,0,0
2/13/2012,167.330002,167.940002,166.740005,167.509995,167.509995,7088900,135.320007,135.520004,134.740005,135.360001,117.556435,115841900,12799.11035,12887.92969,12799.11035,12874.04004,12874.04004,112240000,68.099998,68.300003,66.349998,66.650002,64.805557,565400,1.3194,1.3208,1.3284,1.3187,1,117.93,117.69,118.61,117.35,120610,1,1
2/14/2012,167.649994,167.929993,166.419998,167.119995,167.119995,7862500,135,135.270004,134.25,135.190002,117.408775,165329500,12871.76953,12878.87988,12786.92969,12878.28027,12878.28027,120050000,66.650002,67,64.349998,65.400002,63.590137,754700,1.3119,1.3193,1.3217,1.3079,0,118.16,117.64,118.28,117,24280,1,1
2/15/2012,168.630005,168.75,167.190002,168.110001,168.110001,11638500,135.630005,135.830002,134.289992999999,134.559998,116.861656,195195100,12864.65039,12899.46973,12753.62012,12780.9502,12780.9502,127560000,66.25,67.400002,65.949997,66.800003,64.951393,711700,1.3071,1.3126,1.3191,1.3044,0,118.93,117.44,119.99,117.4,223490,1,1
2/16/2012,166.330002,168.139999,166.169998,168,168,10734000,134.570007,136.169998,134.330002,136.050003,118.155678,186567800,12779.80957,12914,12779.58008,12904.08008,12904.08008,134450000,66.099998,68.650002,65.5,68.099998,66.215431,590500,1.3141,1.3067,1.3161,1.2975,1,120.11,118.9,120.38,118.32,205130,1,1
2/17/2012,168.289992999999,168.330002,166.869995,167.350006,167.350006,7286900,136.520004,136.630005,135.960007,136.410004,118.468315,129869400,12903.33008,12967.91992,12903.25,12949.87012,12949.87012,234650000,69,69,66.599998,67.75,65.875107,471100,1.3152,1.3133,1.3199,1.3114,1,119.58,120.13,120.7,118.85,183830,0,1
2/21/2012,169.649994,171.070007,169.589996,171.020004,171.020004,13611200,136.729996,137.050003,136.050003,136.470001,118.520416,134042300,12949.33984,13005.04004,12926.11035,12965.69043,12965.69043,164780000,68.349998,72.199997,68.349998,72,70.0075,1097600,1.3241,1.3246,1.3294,1.3186,1,121.66,120.07,121.88,119.21,156160,1,1
2/22/2012,170.399994,173.169998,170.190002,172.940002,172.940002,16676500,136.259995,136.550003,135.789992999999,136.029999,118.138312999999,124455300,12966.21973,12977.91016,12914.83008,12938.66992,12938.66992,124200000,71.849998,74.099998,70.75,73.849998,71.806305,1095900,1.3245,1.3236,1.3268,1.3211,1,122.9,121.5,123.23,121,180940,1,1
2/23/2012,172.690002,173.770004,172.279999,173.020004,173.020004,11654200,135.960007,136.729996,135.5,136.630005,118.659362999999,137704300,12937.08008,12996.08008,12882.66992,12984.69043,12984.69043,120480000,73.949997,75.25,73.599998,74.400002,72.341087,1031600,1.3369,1.3245,1.3375,1.323,1,123.62,122.73,124.5,122.1,214760,1,1
2/24/2012,172.630005,173.039992999999,172,172.229996,172.229996,9293700,136.929993,137.199997,136.630005,136.929993,118.919945,105539100,12981.2002,13013.82031,12950.58984,12982.9502,12982.9502,89440000,75.599998,76.449997,74.800003,75.349998,73.264793,803800,1.3457,1.3375,1.3489,1.3357,1,125.47,124.01,125.55,123.3,146860,1,1
2/27/2012,172.139999,172.919998,171.580002,171.699997,171.699997,7340900,136.020004,137.529999,135.800003,137.160004,119.119675,145728900,12981.12988,13027.51953,12882.58984,12981.50977,12981.50977,143530000,74.800003,76.949997,73.900002,76,73.896805,840100,1.34,1.3464,1.3479,1.3365,0,124.17,125.25,125.51,123,177940,0,0
2/28/2012,172.839996,174,172.600006,173.490005,173.490005,12413000,137.199997,137.720001,136.929993,137.559998,119.467079,129355900,12976.74023,13021.50977,12952.82031,13005.12012,13005.12012,114490000,76.5,77.75,76,77.599998,75.45253,837000,1.347,1.3396,1.3472,1.3388,1,121.55,123.39,123.95,121.5,195250,0,0
2/29/2012,173.190002,173.589996,164,164.289992999999,164.289992999999,44149000,137.759995,138.190002,136.539992999999,137.020004,118.998093,185934700,13005.41992,13055.75,12929.66016,12952.07031,12952.07031,182460000,77.900002,78.699997,74.25,76.550003,74.43158,1525800,1.3326,1.3466,1.3487,1.3315,0,122.66,121.61,123.2,120.5,243680,1,1
